name,code,country,lat,lon,elev,style,rwdir,rwlen,freq,desc
"LKJC",LKJC,CZ,5025.800N,01519.983E,263.0m,2,12,1000.0m,"122,2","JICIN"
"LKJH",LKJH,CZ,4909.050N,01458.300E,513.0m,5,7,760.0m,"123,6","JINDRICHUVHRAD"
"LKJI",LKJI,CZ,4925.167N,01538.117E,555.0m,2,10,920.0m,"123,5","JIHLAVA"
"LKKA",LKKA,CZ,4922.100N,01606.967E,559.0m,2,14,700.0m,"122,2","KRIZANOV"
"LKKB",LKKB,CZ,5007.283N,01432.617E,286.0m,5,6,2000.0m,"135,5","KBELY"
"LKKL",LKKL,CZ,5006.767N,01405.383E,433.0m,2,13,900.0m,"123,475","KLADNO"
"LKKM",LKKM,CZ,4917.133N,01724.950E,188.0m,2,3,770.0m,"122,2","KROMERIZ"
"LKKO",LKKO,CZ,5000.117N,01510.400E,282.0m,2,3,850.0m,"123,5","KOLIN"
"LKKR",LKKR,CZ,5004.550N,01741.533E,369.0m,2,12,730.0m,"122,6","KRNOV"
"LKKT",LKKT,CZ,4925.100N,01319.317E,396.0m,2,9,820.0m,"122,2","KLATOVY"
"LKKU",LKKU,CZ,4901.767N,01726.383E,177.0m,5,3,2000.0m,"120,1","KUNOVICE"
"LKKV",LKKV,CZ,5012.183N,01254.900E,606.0m,5,11,2150.0m,"121,225","KARLOVYVARY"
"LKKY",LKKY,CZ,4858.800N,01707.483E,209.0m,2,15,1000.0m,"123,6","KYJOV"
"LKLB",LKLB,CZ,5046.100N,01501.500E,405.0m,2,16,1050.0m,"122,6","LIBEREC"
"LKLT",LKLT,CZ,5007.883N,01431.533E,278.0m,2,5,814.0m,"120,325","LETNANY"
"LKMB",LKMB,CZ,5023.900N,01453.900E,237.0m,2,16,900.0m,"123,6","MLADABOLESLAV"
"LKMH",LKMH,CZ,5032.400N,01500.400E,244.0m,5,7,1550.0m,"130,2","MNICHOVOHRAD"
"LKMI",LKMI,CZ,5018.100N,01717.850E,419.0m,2,5,1000.0m,"123,5","JESENIKMIKULOVI"
"LKMK",LKMK,CZ,4947.900N,01641.267E,403.0m,2,8,720.0m,"130,55","MORAVSKATREBOVA"
"LKMO",LKMO,CZ,5031.500N,01340.983E,331.0m,2,2,1130.0m,"123,5","MOST"
"LKMR",LKMR,CZ,4955.367N,01243.483E,539.0m,2,15,1035.0m,"120,9","MARIANSKELAZNE"
"LKMT",LKMT,CZ,4941.767N,01806.650E,257.0m,5,4,3500.0m,"120,8","OSTRAVAMOSNOV"
"LKNM",LKNM,CZ,5021.850N,01606.817E,305.0m,2,8,930.0m,"123,4","NOVEMESTONM"
"LKNY",LKNY,CZ,5010.167N,01503.267E,186.0m,5,9,600.0m,"123,475","NYMBURK"
"LKOL",LKOL,CZ,4935.267N,01712.650E,265.0m,2,10,900.0m,"118,0","OLOMOUC"
"LKOT",LKOT,CZ,4911.900N,01731.067E,184.0m,5,17,650.0m,"122,4","OTROKOVICE"
"LKPA",LKPA,CZ,4944.367N,01615.533E,603.0m,2,15,1500.0m,"122,6","POLICKA"
"LKPC",LKPC,CZ,5018.383N,01356.050E,368.0m,5,9,2505.0m,"130,550","PANENSKY TYNEC"
"LKPD",LKPD,CZ,5000.800N,01544.317E,226.0m,5,9,2500.0m,"121,250","PARDUBICE"
"LKPI",LKPI,CZ,4934.833N,01545.767E,531.0m,2,8,765.0m,"123,6","PRIBYSLAV"
"LKPJ",LKPJ,CZ,4926.867N,01708.033E,214.0m,2,12,1000.0m,"123,6","PROSTEJOV"
"LKPL",LKPL,CZ,4943.383N,01327.133E,419.0m,2,8,700.0m,"130,6","PLZENLETKOV"
"LKPM",LKPM,CZ,4943.200N,01406.017E,466.0m,5,6,1450.0m,"123,5","PRIBRAM"
"LKPN",LKPN,CZ,4956.350N,01532.983E,381.0m,2,7,730.0m,"123,6","PODHORANY"
"LKPO",PREROV,CZ,4925.583N,01724.400E,207.0m,5,240,2500.0m,,"PREROV"
"LKPR",LKPR,CZ,5006.050N,01415.600E,380.0m,5,6,3715.0m,"118,1","PRAHARUZYNE"
"LKPS",LKPS,CZ,4955.217N,01322.617E,437.0m,2,3,840.0m,"123,6","PLASY"
"LKRA",LKRA,CZ,5024.233N,01345.117E,269.0m,2,11,850.0m,"122,6","LOUNYRANA"
"LKRK",LKRK,CZ,5005.650N,01341.333E,388.0m,2,9,935.0m,"123,5","RAKOVNIK"
"LKRO",LKRO,CZ,5024.633N,01413.567E,222.0m,2,13,1400.0m,"122,2","ROUDNICENL"
"LKSA",LKSA,CZ,4934.000N,01302.917E,428.0m,2,7,660.0m,"123,6","STANKOV"
"LKSK",LKSK,CZ,4949.667N,01600.350E,488.0m,2,13,860.0m,"123,5","SKUTEC"
"LKSN",LKSN,CZ,5013.000N,01405.317E,329.0m,2,7,760.0m,"122,4","SLANY"
"LKSO",LKSO,CZ,4914.800N,01442.817E,407.0m,2,18,740.0m,"122,2","SOBESLAV"
"LKSR",LKSR,CZ,4904.950N,01404.550E,477.0m,2,15,900.0m,"123,5","STRUNKOVICE"
"LKST",LKST,CZ,4915.100N,01353.567E,420.0m,2,3,900.0m,"123,6","STRAKONICE"
"LKSU",LKSU,CZ,4957.633N,01701.067E,335.0m,2,18,700.0m,"122,6","SUMPERK"
"LKSZ",LKSZ,CZ,5019.483N,01415.533E,233.0m,2,15,1315.0m,"119,65","KRALUPYSAZENA"
"LKTA",LKTA,CZ,4923.467N,01442.500E,439.0m,2,12,1100.0m,"122,6","TABOR"
"LKTB",LKTB,CZ,4909.083N,01641.633E,237.0m,5,10,2650.0m,"119,6","BRNOTURANY"
"LKTC",LKTC,CZ,4959.117N,01425.533E,313.0m,2,10,800.0m,"123,4","TOCNA"
"LKTO",LKTO,CZ,5005.183N,01257.167E,651.0m,2,8,1290.0m,"122,6","TOUZIM"
"LKTV",LKTV,CZ,4926.317N,01437.417E,492.0m,5,13,1400.0m,"125,825","TABORVSECHOV"
"LKUO",LKUO,CZ,4958.717N,01625.583E,409.0m,2,14,887.0m,"122,2","USTINADORLICI"
"LKVL",LKVL,CZ,4943.733N,01452.733E,433.0m,2,13,750.0m,"123,5","VLASIM"
"LKVM",LKVM,CZ,4955.617N,01611.150E,301.0m,5,12,1200.0m,"130,6","VYSOKEMYTO"
"LKVO",LKVO,CZ,5013.000N,01423.733E,280.0m,5,10,2500.0m,"133,075","VODOCHODY"
"LKVP",LKVP,CZ,5028.100N,01612.117E,404.0m,2,9,760.0m,"122,2","HRONOVVPORICI"
"LKVR",LKVR,CZ,5037.450N,01538.783E,491.0m,2,11,840.0m,"125,325","VRCHLABI"
"LKVY",LKVY,CZ,4918.017N,01701.517E,279.0m,2,2,1280.0m,"123,5","VYSKOV"
"LKZA",LKZA,CZ,4955.700N,01804.700E,242.0m,5,10,900.0m,"123,6","ZABREH"
"LKZB",LKZB,CZ,4948.850N,01512.100E,493.0m,2,15,780.0m,"122,6","ZBRASLAVICE"
"LKZD",LKZD,CZ,5019.050N,01330.767E,269.0m,5,11,1120.0m,"125,425","ZATEC"
"LKZM",LKZM,CZ,5005.033N,01626.633E,429.0m,2,13,725.0m,"122,6","ZAMBERK"
"LKZN",LKZN,CZ,4849.067N,01603.950E,252.0m,2,8,860.0m,"130,6","ZNOJMO"
"LNARE",LNARE,CZ,4925.850N,01347.317E,565.0m,1,,,,"LNAREPLOCHA"
"LOMNICE",LOMNIC,CZ,4924.300N,01624.783E,0.0m,1,,,,"KOSTEL"
"LOMNICE N POPELKOU",LOMNIC,CZ,5031.850N,01522.467E,500.0m,17,,,,"KRIZOVATKA STRED"
"LUCINA",LUCINA,CZ,4948.383N,01234.883E,0.0m,1,,,,"HRAZ"
"LUKA NAD JIHLAVOU",LUKA,CZ,4922.167N,01542.550E,0.0m,1,,,,"NADRAZI"
"LYSA HORA",LYSAHO,CZ,4932.767N,01826.983E,1323.0m,7,,,,"VRCHOL"
"LYSYCE",LYSYCE,CZ,4927.183N,01632.050E,0.0m,1,,,,"ZAMEK"
"MALENIK",MALENI,CZ,4930.867N,01740.667E,479.0m,7,,,,"VRCHOL"
"MALSICE",MALSIC,CZ,4921.783N,01434.783E,0.0m,1,,,,"KOSTEL"
"MANETIN",MANETI,CZ,4959.600N,01313.817E,430.0m,1,,,,"KOSTEL"
"MEDVEDI VRCCH",MEDVRH,CZ,5009.600N,01718.700E,1216.0m,7,,,,"VRCHOL"
"MELC",MELC,CZ,4950.850N,01745.700E,0.0m,1,,,,"KOSTEL"
"MELNIK",MELNIK,CZ,5020.783N,01428.533E,0.0m,1,,,,"SOUTOK"
"MERIN",MERIN,CZ,4923.517N,01553.267E,519.0m,1,,,,"OBEC"
"MESTEC KRALOVE",MESKRA,CZ,5012.450N,01517.783E,0.0m,1,,,,"KOSTEL"
"MIKULOV",MIKULO,CZ,4848.417N,01638.117E,0.0m,1,,,,"CENTRUM"
"MILESOVKA",MILESO,CZ,5033.283N,01355.817E,0.0m,1,,,,"METEO"
"MILEVSKO",MILEVS,CZ,4926.950N,01421.450E,490.0m,1,,,,"KOSTEL"
"MILOVICE",MILOVI,CZ,5014.167N,01455.417E,199.0m,5,9,2500.0m,"125,825","SLZ PLOCHA"
"MIROSLAV",MIROSL,CZ,4856.833N,01618.817E,238.0m,1,,,,"NAMESTI"
"MISTEK",MISTEK,CZ,4939.333N,01821.000E,322.0m,2,2,425.0m,"122,6","SLZ PLOCHA"
"MLADA VOZICE",MLVOZI,CZ,4931.933N,01448.550E,238.0m,1,,,,"KOSTEL"
"MOHELNICE",MOHELN,CZ,4946.617N,01655.067E,0.0m,1,,,,"NAMESTI"
"MORAVSKE BUDEJOVICE",MORBUD,CZ,4903.067N,01548.517E,481.0m,1,,,,"KOSTEL"
"MORAVSKY BEROUN",MORBER,CZ,4947.067N,01725.900E,359.0m,1,,,,"NAMESTI"
"MORAVSKY KRUMLOV",MORKRU,CZ,4902.967N,01618.467E,307.0m,1,,,,"ZAMEK"
"MORKOV",MORKOV,CZ,4932.267N,01803.583E,0.0m,1,,,,"KOSTEL"
"MRAVENECNIK",MRAVEN,CZ,5004.533N,01708.233E,1343.0m,7,,,,"VRCHOL"
"MSENO",MSENO,CZ,5026.167N,01437.867E,0.0m,1,,,,"KOSTEL"
"NACHOD",NACHOD,CZ,5025.050N,01610.383E,0.0m,1,,,,"NADRAZI"
"NAKLO",NAKLO,CZ,4940.283N,01707.550E,305.0m,1,,,,"HRAZ"
"NEPOMUK",NEPOMU,CZ,4929.183N,01334.967E,0.0m,1,,,,"KOSTEL"
"NERATOVICE",NERATO,CZ,5015.733N,01431.600E,0.0m,1,,,,"MOST"
"NETOLICE",NETOLI,CZ,4903.267N,01411.400E,0.0m,1,,,,"NADRAZI"
"NOVA BYSTRICE",NOVBYS,CZ,4901.133N,01506.650E,535.0m,1,,,,"KOSTEL"
"NOVA PAKA",NOVPAK,CZ,5029.200N,01531.417E,0.0m,1,,,,"NADRAZI"
"NOVE MESTO NA MORAVE",NOVMEM,CZ,4934.100N,01604.917E,594.0m,1,,,,"NADRAZI"
"NOVE MLYNY",NOMLYN,CZ,4853.750N,01635.967E,256.0m,1,,,,"KOSTEL"
"NOVE VESELI",NOVESE,CZ,4931.183N,01554.350E,500.0m,1,,,,"KRIZOVATKA"
"NOVY BYDZOV",NOVBYD,CZ,5014.500N,01529.483E,0.0m,1,,,,"NAMESTI"
"NOVY JICIN",NOVJIC,CZ,4935.500N,01801.133E,0.0m,1,,,,"NADRAZI"
"NYMBURK",NYMBUR,CZ,5011.000N,01502.550E,0.0m,1,,,,"NAMESTI"
"NYRSKO",NYRSKO,CZ,4917.600N,01308.483E,0.0m,1,,,,"MOST"
"ODRY",ODRY,CZ,4940.183N,01749.983E,0.0m,1,,,,"NADRAZI"
"OKRISKY",OKRISK,CZ,4914.850N,01546.250E,472.0m,1,,,,"NADRAZI"
"OKROUHLICE",OKROUH,CZ,4937.833N,01529.250E,0.0m,1,,,,"Nadrazi"
"OLESNICE",OLESNI,CZ,4933.433N,01625.333E,0.0m,1,,,,"KOSTEL"
"OPARANY",OPARAN,CZ,4923.667N,01429.083E,420.0m,1,,,,"KOSTEL"
"OPAVA",OPAVA,CZ,4956.200N,01754.333E,0.0m,1,,,,"KRIZOVATKACENTR"
"OPOCNO",OPOCNO,CZ,5015.900N,01606.967E,0.0m,1,,,,"ZAMEK"
"ORLIK",ORLIK,CZ,4936.417N,01410.950E,0.0m,1,,,,"HRAZ"
"OSECNA",OSECNA,CZ,5041.600N,01455.250E,0.0m,1,,,,"KOSTEL"
"OSICINY",OSICIN,CZ,5000.933N,01446.350E,381.0m,2,18,540.0m,"125,825","SLZ PLOCHA"
"OSOVA BITYSKA",OSOBIT,CZ,4919.817N,01609.983E,535.0m,1,,,,"KRIZOVATKA"
"OSTROV",OSTROV,CZ,5020.217N,01258.217E,511.0m,2,7,500.0m,"122,4","SLZ PLOCHA"
"PACOV",PACOV,CZ,4928.317N,01500.317E,0.0m,1,,,,"KOSTEL"
"PASTVINY",PASTVI,CZ,5004.500N,01633.550E,574.0m,1,,,,"HRAZ"
"PAVOV",PAVOV,CZ,4927.067N,01536.650E,480.0m,1,,,,"KRIZOVATKA D1"
"PECKA",PECKA,CZ,5028.750N,01536.267E,0.0m,1,,,,"ZRICENINA"
"PELHRIMOV",PELHRI,CZ,4925.217N,01513.383E,494.0m,1,,,,"NADRAZI"
"PERNSTEJN",PERNST,CZ,4927.083N,01619.000E,530.0m,1,,,,"HRAD"
"PISEK",PISEK,CZ,4918.750N,01408.683E,472.0m,1,,,,"PISEKMOST"
"PLANA",PLANA,CZ,4951.967N,01244.017E,0.0m,1,,,,"CENTRUM"
"PLANANY",PLANAN,CZ,5003.033N,01501.967E,0.0m,1,,,,"KOSTEL"
"PLESNICE",PLESNI,CZ,4946.333N,01309.783E,408.0m,2,9,800.0m,"123.5","SLZ PLOCHA"
"PLUMLOV",PLUMLO,CZ,4928.100N,01702.300E,0.0m,1,,,,"HRAZ"
"POCATKY",POCATK,CZ,4915.700N,01514.267E,0.0m,1,,,,"OBEC"
"PODBORANY",PODBOR,CZ,5013.383N,01324.250E,0.0m,1,,,,"NADRAZI"
"PODEBRADY",PODEBR,CZ,5009.017N,01507.400E,0.0m,1,,,,"NADRAZI"
"PODOLI",PODOLI,CZ,4921.483N,01416.467E,0.0m,1,,,,"MOST"
"POLEPY",POLEPY,CZ,5031.233N,01416.317E,190.0m,2,18,400.0m,"125,825","SLZ PLOCHA"
"POLICE NAD METUJI",POLICE,CZ,5032.233N,01614.050E,450.0m,17,,,,"STRED MESTA"
"POLNA",POLNA,CZ,4929.250N,01543.117E,490.0m,1,,,,"CENTRUM"
"POPICE",POPICE,CZ,4921.017N,01532.433E,0.0m,1,,,,"KOSTEL"
"PORICI",PORICI,CZ,5034.433N,01556.883E,0.0m,1,,,,"KOSTEL"
"PRADED",PRADED,CZ,5005.000N,01713.950E,1491.0m,7,,,,"VRCHOL"
"PRACHATICE",PRACHA,CZ,4900.900N,01400.533E,0.0m,1,,,,"NADRAZI"
"PRACHOVICE",PRACHO,CZ,4953.650N,01537.733E,0.0m,1,,,,"KOSTEL"
"PRASILSKE JEZERO",PRJEZE,CZ,4904.600N,01324.167E,0.0m,1,,,,"PRASILSKEJEZERO"
"PROSEC",PROSEC,CZ,4948.333N,01607.100E,0.0m,1,,,,"KOSTEL"
"PROTIVANOV",PROTINOV,CZ,4928.983N,01650.267E,0.0m,1,,,,"KOSTEL"
"RABI",RABI,CZ,4916.850N,01337.133E,0.0m,1,,,,"HRAD"
"RABSTEJN",RABSTEJN,CZ,5002.583N,01317.667E,550.0m,1,,,,"HRAD"
"RADESINSKA SVRATKA",RADESTKA,CZ,4930.533N,01604.983E,0.0m,1,,,,"KOSTEL"
"RADHOST",RADHOS,CZ,4929.467N,01813.633E,0.0m,1,,,,"ROZHLEDNA"
"RADNICE",RADNICE,CZ,4951.367N,01336.383E,400.0m,1,,,,"KOSTEL"
"RADOSTIN NAD OSLAVOU",RADOSVOU,CZ,4927.700N,01558.000E,0.0m,1,,,,"KOSTEL"
"RALSKO",RALSKO,CZ,5040.467N,01445.950E,0.0m,7,,,,"VRCHOL"
"RAMZOVA",RAMZOVA,CZ,5011.767N,01703.867E,0.0m,1,,,,"KOSTEL"
"RICANY",RICANY,CZ,4959.867N,01439.867E,0.0m,1,,,,"NADRAZI"
"RIMOV",RIMOV,CZ,4851.017N,01429.467E,400.0m,1,,,,"MOST"
"RIP",RIP,CZ,5023.150N,01417.333E,0.0m,7,,,,"VRCHOL"
"ROHOZEC",ROHOZE,CZ,4958.917N,01523.567E,206.0m,2,5,400.0m,"133,0","SLZ PLOCHA"
"ROKYCANY",ROKYCA,CZ,4944.250N,01335.317E,362.0m,1,,,,"NADRAZI"
"ROKYTNICE NAD JIZEROU",ROKJIZ,CZ,5043.783N,01526.883E,690.0m,17,,,,"KRIZOVATKA STRED"
"ROKYTNICE V ORLICKYCH HORACH",ROKORL,CZ,5009.917N,01627.933E,550.0m,17,,,,"KRIZOVATKA STRED"
"ROPICE",ROPICE,CZ,4935.833N,01835.250E,1082.0m,7,,,,"VRCHOL"
"ROZDALOVICE",ROZDAICE,CZ,5018.417N,01510.283E,0.0m,1,,,,"KOSTEL"
"ROZNA",ROZNA,CZ,4928.733N,01613.967E,0.0m,1,,,,"KOSTEL"
"ROZNOV POD RADHOSTEM",ROZNOTEM,CZ,4927.600N,01808.100E,0.0m,1,,,,"NADRAZI"
"RUDA NAD MORAVOU",RUDANVOU,CZ,4958.967N,01652.750E,0.0m,1,,,,"KOSTEL"
"RUDNIK",RUDNIK,CZ,5035.767N,01544.083E,0.0m,1,,,,"KOSTEL"
"RYCNOV N KNEZNOU",RYCHKN,CZ,5009.483N,01616.433E,0.0m,1,,,,"NADRAZI"
"RYMAROV",RYMARO,CZ,4956.050N,01716.350E,590.0m,1,,,,"CENTRUM"
"SADSKA",SADSKA,CZ,5008.150N,01458.800E,0.0m,1,,,,"KOSTEL"
"SANCE",SANCE,CZ,4930.667N,01824.933E,0.0m,12,,,,"PRAHRADA"
"SANOV",SANOV,CZ,4848.617N,01622.967E,219.0m,1,,,,"NADRAZI"
"SAZAVA",SAZAVA,CZ,4953.417N,01456.667E,410.0m,2,9,400.0m,"125,825","SLZ PLOCHA"
"SEC",SEC,CZ,4950.217N,01538.783E,386.0m,1,,,,"HRAZ"
"SEDLCANY",SEDLCA,CZ,4939.333N,01426.050E,0.0m,1,,,,"NADRAZI"
"SEDLEC PRCICE",SEDPRC,CZ,4934.333N,01432.000E,0.0m,1,,,,"CENTRUM"
"SEMILY",SEMILY,CZ,5036.133N,01519.900E,0.0m,1,,,,"MOST"
"SEVETIN",SEVETIN,CZ,4906.000N,01434.367E,0.0m,1,,,,"KOSTEL"
"SKLENE NAD OSLAVOU",SKLENVOU,CZ,4926.250N,01603.200E,0.0m,1,,,,"NADRAZI"
"SKRYJE",SKRYJE,CZ,4923.500N,01618.383E,0.0m,1,,,,"KOSTEL"
"SLAPY",SLAPY,CZ,4949.433N,01426.033E,0.0m,1,,,,"HRAZ"
"SLAVONIN",SLAVON,CZ,4859.767N,01521.167E,512.0m,1,,,,"KOSTEL"
"SLEZSKA HARTA",SLEZSRTA,CZ,4953.417N,01735.100E,500.0m,12,,,,"PRAHRADA"
"SLUSOVICE",SLUSOV,CZ,4915.533N,01748.833E,354.0m,2,4,400.0m,"123,5","SLZ PLOCHA"
"SMRK",SMRK,CZ,5013.717N,01702.050E,1125.0m,7,,,,"VRCHOL"
"SMRK V BESKYDECH",SMRKVECH,CZ,4930.500N,01822.233E,1276.0m,1,,,,"VRCHOL"
"SNEZKA",SNEZKA,CZ,5044.150N,01544.433E,0.0m,7,,,,"VRCHOL"
"SOBOTKA",SOBOTK,CZ,5028.250N,01510.200E,0.0m,1,,,,"HUMPRECHT"
"SOKOLOV",SOKOLO,CZ,5011.083N,01238.133E,410.0m,1,,,,"SILNICNIMOST"
"SOPOTICE",SOPOTICE,CZ,5003.600N,01620.750E,0.0m,1,,,,"KOSTEL"
"STAJ",STAJ,CZ,4927.500N,01548.217E,0.0m,1,,,,"KOSTEL"
"STARE MESTO",STARESTO,CZ,5009.667N,01656.917E,0.0m,1,,,,"KOSTEL"
"STARY JICIN",STARYCIN,CZ,4934.667N,01757.733E,0.0m,1,,,,"KOSTEL"
"STERNBERK",STERNB,CZ,4944.333N,01718.133E,306.0m,1,,,,"ZAMEK"
"STETI",STETI,CZ,5027.917N,01424.283E,240.0m,2,14,500.0m,"125,825","SLZ PLOCHA"
"STIPA",STIPA,CZ,4916.383N,01744.867E,336.0m,2,9,400.0m,"122,8","SLZ PLOCHA"
"STITY",STITY,CZ,4957.733N,01645.700E,450.0m,1,,,,"KOSTEL"
"STONAROV",STONAROV,CZ,4916.900N,01535.267E,0.0m,1,,,,"KOSTEL"
"STRAZEK",STRAZEK,CZ,4926.400N,01611.733E,0.0m,1,,,,"KOSTEL"
"STRAZNICE",STRAZN,CZ,4853.300N,01717.717E,190.0m,2,5,750.0m,"125,30","SLZ PLOCHA"
"STREMY",STREMY,CZ,5023.100N,01434.617E,305.0m,2,9,500.0m,"125,825","SLZ PLOCHA"
"STRIBRO",STRIBR,CZ,4945.217N,01259.700E,0.0m,1,,,,"CENTRUM"
"SUCHY VRCH",SUCHVR,CZ,5003.100N,01641.600E,995.0m,8,,,,"VYSILAC"
"SUMVALDSKY RYBNIK",SUMVANIK,CZ,4948.750N,01707.233E,390.0m,12,,,,"RYBNIK"
"SUSICE",SUSICE,CZ,4913.783N,01331.267E,0.0m,1,,,,"MOST"
"SVETLA N SAZAVOU",SVETLA,CZ,4940.217N,01525.033E,400.0m,1,,,,"CENTRUM"
"SVIHOV",SVIHOV,CZ,4928.733N,01317.117E,452.0m,1,,,,"HRAD"
"SVITAVY",SVITAV,CZ,4945.267N,01628.450E,435.0m,1,,,,"CENTRUM"
"SVOJANOV",SVOJANOV,CZ,4937.617N,01624.533E,0.0m,16,,,,"HRAD"
"SYKOR",SYKOR,CZ,4926.800N,01624.450E,701.0m,7,,,,"VRCHOL"
"TACHOV",TACHOV,CZ,4947.683N,01238.133E,530.0m,1,,,,"CENTRUM"
"TELC",TELC,CZ,4910.967N,01527.900E,523.0m,1,,,,"NADRAZI"
"TEPLA",TEPLA,CZ,4958.783N,01251.833E,600.0m,1,,,,"STRED"
"TEPLICE",TEPLIC,CZ,5038.800N,01349.767E,0.0m,1,,,,"NADRAZICENTRUM"
"TEPLICE NAD METUJI",TEPLIUJI,CZ,5035.567N,01610.333E,0.0m,1,,,,"NADRAZI"
"TISNOV",TISNOV,CZ,4920.833N,01625.083E,395.0m,1,,,,"NADRAZI"
"TRAVNY",TRAVNY,CZ,4933.667N,01830.533E,1203.0m,7,,,,"VRCHOL"
"TREBETIN",TREBETIN,CZ,4946.217N,01516.217E,550.0m,1,,,,"KOSTEL"
"TREBIC",TREBIC,CZ,4912.683N,01553.067E,505.0m,1,,,,"NADRAZI"
"TREBON",TREBON,CZ,4859.983N,01446.367E,534.0m,1,,,,"HRAZSVET"
"TREST",TREST,CZ,4917.217N,01528.933E,582.0m,1,,,,"NADRAZI"
"TRHOVE SVINY",TRHSVI,CZ,4850.317N,01438.317E,637.0m,1,,,,"KOSTEL"
"TROJBOD",TROJBO,CZ,5012.233N,01443.533E,0.0m,1,,,,"TROJBOD"
"TROSKY",TROSKY,CZ,5030.983N,01514.000E,0.0m,1,,,,"ZRICENINA"
"TRUTNOV",TRUTNO,CZ,5033.700N,01554.450E,420.0m,17,,,,"KRIZOVATKA STRED"
"TYN N VLTAVOU",TYNVLT,CZ,4913.283N,01425.267E,486.0m,1,,,,"MOST"
"TYNEC NAD LABEM",TYNECBEM,CZ,5002.433N,01521.500E,0.0m,1,,,,"KOSTEL"
"TYNISTE N ORLICI",TYNORL,CZ,5009.267N,01604.450E,321.0m,1,,,,"CENTRUM"
"UHERSKY BROD",UHERBR,CZ,4901.333N,01738.467E,0.0m,1,,,,"NADRAZI"
"UHLIRSKE JANOVICE",UHLJAN,CZ,4952.850N,01503.867E,389.0m,1,,,,"OBEC"
"UNICOV",UNICOV,CZ,4946.267N,01707.300E,0.0m,1,,,,"CENTRUM"
"UPICE",UPICE,CZ,5030.617N,01600.950E,410.0m,17,,,,"KRIZOVATKA STRED"
"USOV",USOV,CZ,4947.900N,01700.667E,300.0m,1,,,,"KOSTEL"
"USTEK",USTEK,CZ,5035.067N,01420.600E,0.0m,1,,,,"KOSTEL"
"USTI NAD LABEM",USTLAB,CZ,5039.550N,01402.833E,0.0m,1,,,,"SILNICNIMOST"
"UVALY",UVALY,CZ,5004.483N,01443.367E,0.0m,1,,,,"NADRAZI"
"VALASKE MEZIRICI",VALMEZ,CZ,4928.617N,01757.733E,0.0m,1,,,,"NADRAZI"
"VALEC",VALEC,CZ,5010.467N,01315.133E,500.0m,1,,,,"KOSTEL"
"VELESIN",VELESI,CZ,4849.600N,01426.967E,518.0m,2,9,400.0m,"120,675","SLZ PLOCHA"
"VELKA BITES",VELBIT,CZ,4917.283N,01613.683E,0.0m,1,,,,"CENTRUM"
"VELKA BYSTRICE",VELKCE,CZ,4935.867N,01721.967E,260.0m,1,,,,"NADRAZI"
"VELKA DESTNA",VELDES,CZ,5018.133N,01623.917E,1115.0m,7,,,,"VRCHOL"
"VELKA JAVORINA",VELKNA,CZ,4851.517N,01740.483E,970.0m,7,,,,"VRCHOL"
"VELKE KARLOVICE",VELKCE,CZ,4921.600N,01817.133E,0.0m,1,,,,"KOSTEL"
"VELKE MEZIRICI",VELMEZ,CZ,4921.600N,01600.900E,0.0m,1,,,,"DALNICNIMOST"
"VELKY JAVORNIK",VELJAV,CZ,4919.133N,01822.533E,1071.0m,7,,,,"VRCHOL"
"VELKY POLOM",VELKOM,CZ,4930.367N,01840.233E,1067.0m,7,,,,"VRCHOL"
"VELKY SENOV",VELNOV,CZ,5059.600N,01422.783E,0.0m,1,,,,"NADRAZI"
"VELKY TYNEC",VELNEC,CZ,4933.050N,01719.933E,0.0m,1,,,,"KOSTEL"
"VERNYROV",VERNYV,CZ,4950.833N,01509.183E,450.0m,1,,,,"KRIZOVATKA"
"VESELI N LUZNICI",VESLUZ,CZ,4911.233N,01442.050E,0.0m,1,,,,"MOST"
"VESELI NAD LIZNICI",VESECI,CZ,4911.617N,01442.983E,0.0m,1,,,,"NADRAZI"
"VETRNI JENIKOV",VETRNV,CZ,4928.417N,01528.683E,650.0m,1,,,,"KOSTEL"
"VEVERSKA BITYSKA",VEVESA,CZ,4916.533N,01626.233E,0.0m,1,,,,"KOSTEL"
"VEZNICE",VEZNCE,CZ,4924.533N,01545.367E,0.0m,1,,,,"NADJEZD"
"VIMPERK",VIMPER,CZ,4903.500N,01347.133E,694.0m,1,,,,"CENTRUM"
"VINOR",VINOR,CZ,5008.583N,01434.817E,0.0m,1,,,,"ZAMEK"
"VIR",VIR,CZ,4934.100N,01619.183E,517.0m,1,,,,"HRAZ"
"VISNOVA",VISNVA,CZ,4942.350N,01408.800E,0.0m,1,,,,"KOSTEL"
"VIZOVICE",VIZOVE,CZ,4913.167N,01750.567E,0.0m,1,,,,"NADRAZI"
"VODNANY",VODNAN,CZ,4908.750N,01410.733E,490.0m,1,,,,"NADRAZI"
"VOJNUV MESTEC",VOJMES,CZ,4940.767N,01552.517E,0.0m,1,,,,"NAMESTI"
"VOLYNE",VOLYNE,CZ,4910.100N,01353.500E,0.0m,1,,,,"MOST"
"VOTICE",VOTICE,CZ,4938.350N,01438.483E,436.0m,1,,,,"OBEC"
"VRANOV",VRANOV,CZ,4918.533N,01636.733E,0.0m,1,,,,"KOSTEL"
"VRANOV",VRANOV,CZ,4854.533N,01549.250E,405.0m,1,,,,"HRAZ"
